t,type,lat,lon,var,n,v,v_fill
2024,4,34.3,71.6,1,102,0.4836955783457447,0.4836955783457447
2024,4,34.3,71.6,2,102,23.200000000000006,23.200000000000006
2024,4,34.3,71.6,3,102,0.34336593617998196,0.34336593617998196
2024,4,34.3,71.6,4,102,4584,4584
2024,4,34.3,71.6,5,102,3.3572338499505814,3.3572338499505814
2024,4,34.3,71.6,6,102,67.94742869994938,67.94742869994938
2024,4,34.3,71.6,7,102,0.1463535085004516,0.1463535085004516
2024,4,34.3,71.6,8,102,0.6185942475991615,0.6185942475991615
2024,4,34.3,71.6,9,102,0.0063184347132227,0.0087218216370474
2024,4,33,70,1,198,0.4808927506915808,0.4808927506915808
2024,4,33,70,2,198,23.299999999999997,23.299999999999997
2024,4,33,70,3,198,0.3419064465075948,0.3419064465075948
2024,4,33,70,4,198,2651,2651
2024,4,33,70,5,198,2.151215835142094,2.151215835142094
2024,4,33,70,6,198,72.59205043327594,72.59205043327594
2024,4,33,70,7,198,0.0366700243914304,0.0366700243914304
2024,4,33,70,8,198,0.6264129403828844,0.6264129403828844
2024,4,33,70,9,198,0.0283444071453468,0.0283444071453468
2024,4,2.4,102.2,1,91,0.5091904966031336,0.5091904966031336
2024,4,2.4,102.2,2,91,30.900000000000002,30.900000000000002
2024,4,2.4,102.2,3,91,0.22464469598282547,0.22464469598282547
2024,4,2.4,102.2,4,91,42467,42467
2024,4,2.4,102.2,5,91,10.971061706542969,10.971061706542969
2024,4,2.4,102.2,6,91,74.88390350341797,74.88390350341797
2024,4,2.4,102.2,7,91,0.4736579192524503,0.4736579192524503
2024,4,2.4,102.2,8,91,0.39852385947866764,0.39852385947866764
2024,4,2.4,102.2,9,91,0.0068552967118099,0.0087218216370474
2024,4,34.2,72,1,14,0.4836955783457448,0.4836955783457448
2024,4,34.2,72,2,14,23.200000000000006,23.200000000000006
2024,4,34.2,72,3,14,0.3433659361799819,0.3433659361799819
2024,4,34.2,72,4,14,4584,4584
2024,4,34.2,72,5,14,3.357233849950582,3.357233849950582
2024,4,34.2,72,6,14,67.94742869994938,67.94742869994938
2024,4,34.2,72,7,14,0.14635350850045162,0.14635350850045162
2024,4,34.2,72,8,14,0.6185942475991615,0.6185942475991615
2024,4,34.2,72,9,14,0.0063184347132227,0.0087218216370474
2024,4,34.1,71.7,1,55,0.4836955783457448,0.4836955783457448
2024,4,34.1,71.7,2,55,23.20000000000001,23.20000000000001
2024,4,34.1,71.7,3,55,0.3433659361799819,0.3433659361799819
2024,4,34.1,71.7,4,55,4584,4584
2024,4,34.1,71.7,5,55,3.3572338499505823,3.3572338499505823
2024,4,34.1,71.7,6,55,67.94742869994938,67.94742869994938
2024,4,34.1,71.7,7,55,0.14635350850045165,0.14635350850045165
2024,4,34.1,71.7,8,55,0.6185942475991615,0.6185942475991615
2024,4,34.1,71.7,9,55,0.0063184347132227,0.0087218216370474
2024,4,35.1,72,1,116,0.4836955783457447,0.4836955783457447
2024,4,35.1,72,2,116,23.200000000000006,23.200000000000006
2024,4,35.1,72,3,116,0.3433659361799819,0.3433659361799819
2024,4,35.1,72,4,116,4584,4584
2024,4,35.1,72,5,116,3.3572338499505814,3.3572338499505814
2024,4,35.1,72,6,116,67.94742869994937,67.94742869994937
2024,4,35.1,72,7,116,0.14635350850045162,0.14635350850045162
2024,4,35.1,72,8,116,0.6185942475991615,0.6185942475991615
2024,4,35.1,72,9,116,0.0063184347132227,0.0087218216370474
2024,4,34.5,72,1,20,0.4836955783457448,0.4836955783457448
2024,4,34.5,72,2,20,23.200000000000003,23.200000000000003
2024,4,34.5,72,3,20,0.3433659361799819,0.3433659361799819
2024,4,34.5,72,4,20,4584,4584
2024,4,34.5,72,5,20,3.357233849950582,3.357233849950582
2024,4,34.5,72,6,20,67.94742869994938,67.94742869994938
2024,4,34.5,72,7,20,0.1463535085004516,0.1463535085004516
2024,4,34.5,72,8,20,0.6185942475991615,0.6185942475991615
2024,4,34.5,72,9,20,0.006318434713222699,0.0087218216370474
2024,4,33.7,71,1,14,0.4808927506915808,0.4808927506915808
2024,4,33.7,71,2,14,23.3,23.3
2024,4,33.7,71,3,14,0.3419064465075947,0.3419064465075947
2024,4,33.7,71,4,14,2651,2651
2024,4,33.7,71,5,14,2.151215835142094,2.151215835142094
2024,4,33.7,71,6,14,72.59205043327594,72.59205043327594
2024,4,33.7,71,7,14,0.0366700243914304,0.0366700243914304
2024,4,33.7,71,8,14,0.6264129403828844,0.6264129403828844
